workclass,education,marital_status,occupation,capital_gain,capital_loss,hours_per_week
Private,7th-8th,Married-civ-spouse,Farming-fishing,0,0,36
Local-gov,HS-grad,Married-civ-spouse,Protective-serv,4064,0,50
State-gov,Some-college,Never-married,Protective-serv,0,0,40
Private,7th-8th,Married-civ-spouse,Handlers-cleaners,0,0,40
Private,HS-grad,Never-married,Tech-support,0,0,40
Local-gov,Assoc-voc,Married-civ-spouse,Transport-moving,0,0,40
State-gov,HS-grad,Married-civ-spouse,Protective-serv,0,0,35
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,0,0,38
Private,Bachelors,Married-civ-spouse,Tech-support,0,0,40
Private,HS-grad,Never-married,Handlers-cleaners,0,0,40
Private,Some-college,Married-civ-spouse,Other-service,0,0,40
Private,12th,Married-civ-spouse,Adm-clerical,0,0,40
Private,Bachelors,Married-civ-spouse,Adm-clerical,0,0,40
Private,Masters,Never-married,Prof-specialty,0,0,40
Private,Assoc-voc,Married-spouse-absent,Prof-specialty,0,0,40
Private,HS-grad,Divorced,Prof-specialty,0,0,7
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,0,0,60
Local-gov,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,Masters,Married-civ-spouse,Prof-specialty,0,0,55
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,40
Federal-gov,Assoc-voc,Separated,Tech-support,0,0,30
Private,Some-college,Never-married,Exec-managerial,0,0,40
Private,Some-college,Never-married,Handlers-cleaners,0,0,40
Private,HS-grad,Married-civ-spouse,Sales,0,0,40
Private,HS-grad,Divorced,Handlers-cleaners,0,0,40
Private,Some-college,Married-civ-spouse,Tech-support,0,0,50
Private,Bachelors,Married-civ-spouse,Sales,7298,0,55
Private,Some-college,Divorced,Prof-specialty,0,0,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,0,0,60
Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,0,1887,50
Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Transport-moving,7688,0,70
Local-gov,Some-college,Married-civ-spouse,Protective-serv,0,0,72
Private,Assoc-voc,Never-married,Adm-clerical,0,0,42
Private,Bachelors,Married-civ-spouse,Craft-repair,0,0,45
Private,Some-college,Never-married,Transport-moving,0,0,40
Private,HS-grad,Never-married,Craft-repair,0,0,38
Private,HS-grad,Divorced,Transport-moving,0,0,60
Private,9th,Married-civ-spouse,Other-service,0,0,40
Local-gov,Some-college,Widowed,Adm-clerical,0,0,40
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Craft-repair,0,0,50
Private,HS-grad,Never-married,Craft-repair,0,1590,40
Self-emp-not-inc,HS-grad,Divorced,Sales,0,1590,62
Private,Some-college,Married-civ-spouse,Craft-repair,0,0,40
Private,Some-college,Married-civ-spouse,Craft-repair,7298,0,40
Local-gov,Bachelors,Never-married,Prof-specialty,0,0,40
Private,Bachelors,Never-married,Craft-repair,0,0,40
Private,7th-8th,Married-civ-spouse,Farming-fishing,0,2042,40
Private,Some-college,Married-civ-spouse,Sales,3137,0,50
Private,Doctorate,Married-civ-spouse,Prof-specialty,0,0,25
Private,HS-grad,Married-civ-spouse,Exec-managerial,0,1902,45
Private,10th,Married-civ-spouse,Transport-moving,0,0,35
Private,Some-college,Married-civ-spouse,Craft-repair,0,0,45
Private,Some-college,Married-civ-spouse,Adm-clerical,0,0,40
Private,Some-college,Never-married,Prof-specialty,0,0,25
Private,HS-grad,Married-civ-spouse,Sales,0,0,40
Private,11th,Never-married,Transport-moving,0,0,40
Local-gov,Bachelors,Married-civ-spouse,Craft-repair,0,1740,40
Private,Some-college,Never-married,Other-service,0,0,40
Private,HS-grad,Never-married,Handlers-cleaners,0,1408,40
Private,10th,Married-civ-spouse,Craft-repair,5013,0,40
Private,Some-college,Never-married,Handlers-cleaners,0,0,20
Private,Bachelors,Married-civ-spouse,Sales,0,0,40
Private,Masters,Married-civ-spouse,Prof-specialty,0,0,38
Local-gov,HS-grad,Never-married,Other-service,0,0,16
Private,HS-grad,Never-married,Other-service,0,0,20
Private,11th,Divorced,Handlers-cleaners,0,0,43
Private,7th-8th,Widowed,Prof-specialty,0,0,44
Self-emp-inc,Some-college,Never-married,Sales,0,0,48
Private,Some-college,Divorced,Craft-repair,0,0,40
Private,HS-grad,Never-married,Craft-repair,0,0,1
Private,HS-grad,Never-married,Adm-clerical,4416,0,40
Private,Assoc-acdm,Never-married,Adm-clerical,0,0,40
Private,HS-grad,Divorced,Exec-managerial,0,0,40
Private,Some-college,Never-married,Sales,0,0,55
Private,HS-grad,Divorced,Transport-moving,0,0,40
Private,Some-college,Married-civ-spouse,Sales,0,0,40
Private,Assoc-voc,Divorced,Prof-specialty,0,0,38
Private,Some-college,Married-civ-spouse,Craft-repair,7688,0,55
Private,Masters,Married-civ-spouse,Exec-managerial,0,0,45
Private,Bachelors,Married-civ-spouse,Adm-clerical,0,0,40
Private,Bachelors,Divorced,Exec-managerial,0,0,50
Private,Some-college,Married-civ-spouse,Transport-moving,7298,0,43
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,40
Private,Some-college,Never-married,Exec-managerial,0,0,50
Private,HS-grad,Separated,Handlers-cleaners,0,0,40
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,0,0,40
Private,7th-8th,Separated,Craft-repair,0,0,40
Private,HS-grad,Divorced,Adm-clerical,0,0,45
Private,HS-grad,Never-married,Adm-clerical,0,0,40
Private,Assoc-voc,Married-civ-spouse,Craft-repair,0,0,40
Self-emp-not-inc,10th,Divorced,Farming-fishing,0,0,70
Self-emp-not-inc,HS-grad,Married-spouse-absent,Farming-fishing,0,0,60
Private,Masters,Married-civ-spouse,Exec-managerial,0,1902,50
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,55
Private,Prof-school,Widowed,Adm-clerical,0,0,20
Private,Doctorate,Married-civ-spouse,Prof-specialty,0,0,50
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,5178,0,60
Private,Assoc-voc,Married-civ-spouse,Craft-repair,0,2603,40
Private,Some-college,Never-married,Sales,0,0,40
Private,HS-grad,Married-civ-spouse,Sales,0,0,50
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,35
Private,Assoc-voc,Never-married,Sales,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Never-married,Adm-clerical,0,0,25
Federal-gov,Some-college,Married-civ-spouse,Craft-repair,0,0,40
Private,Masters,Divorced,Prof-specialty,0,0,50
Private,Bachelors,Married-civ-spouse,Transport-moving,15024,0,55
Private,10th,Married-civ-spouse,Transport-moving,0,0,50
Private,Some-college,Never-married,Prof-specialty,0,0,40
Private,HS-grad,Never-married,Handlers-cleaners,0,0,40
Private,Bachelors,Married-civ-spouse,Sales,0,0,35
Private,Assoc-voc,Never-married,Other-service,0,0,40
Private,Bachelors,Never-married,Other-service,0,0,36
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,1485,50
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,0,0,40
Private,Bachelors,Never-married,Sales,0,0,80
State-gov,12th,Married-civ-spouse,Tech-support,0,0,40
Private,HS-grad,Never-married,Other-service,0,0,35
Private,HS-grad,Married-spouse-absent,Other-service,0,0,3
Self-emp-not-inc,Some-college,Never-married,Transport-moving,0,0,30
Private,Assoc-voc,Widowed,Prof-specialty,0,0,1
Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,0,0,45
Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,0,0,40
State-gov,Prof-school,Married-civ-spouse,Prof-specialty,0,0,75
Private,11th,Never-married,Craft-repair,6849,0,40
Local-gov,HS-grad,Divorced,Other-service,0,0,40
State-gov,Some-college,Never-married,Tech-support,0,0,20
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,0,0,50
Private,5th-6th,Married-civ-spouse,Prof-specialty,0,0,40
State-gov,Doctorate,Never-married,Prof-specialty,0,0,70
Private,HS-grad,Never-married,Sales,0,0,45
Private,HS-grad,Never-married,Machine-op-inspct,0,0,40
Private,HS-grad,Widowed,Prof-specialty,0,0,23
Private,Some-college,Never-married,Sales,0,0,25
Private,HS-grad,Separated,Machine-op-inspct,0,0,40
Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,0,0,40
Local-gov,Masters,Married-civ-spouse,Prof-specialty,7688,0,35
Private,HS-grad,Never-married,Adm-clerical,0,0,42
Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,7688,0,60
Private,Some-college,Never-married,Prof-specialty,0,0,40
Self-emp-inc,Some-college,Widowed,Sales,0,0,40
State-gov,HS-grad,Married-civ-spouse,Protective-serv,0,0,40
Private,HS-grad,Never-married,Adm-clerical,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,7298,0,40
Private,HS-grad,Divorced,Machine-op-inspct,0,0,48
Private,HS-grad,Never-married,Sales,0,0,23
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0,0,35
Private,10th,Never-married,Transport-moving,0,0,60
Private,Some-college,Never-married,Prof-specialty,0,0,40
Private,Some-college,Never-married,Prof-specialty,0,0,8
Private,HS-grad,Divorced,Exec-managerial,0,0,30
Private,Bachelors,Married-civ-spouse,Exec-managerial,0,0,65
Private,Some-college,Never-married,Prof-specialty,0,0,10
Private,Some-college,Married-civ-spouse,Transport-moving,0,0,60
Private,10th,Never-married,Craft-repair,0,0,48
Local-gov,Some-college,Never-married,Other-service,0,0,20
Private,Some-college,Married-civ-spouse,Adm-clerical,0,0,40
Private,Assoc-acdm,Never-married,Adm-clerical,2202,0,38
Private,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,0,0,40
Private,Assoc-voc,Divorced,Adm-clerical,6849,0,40
Self-emp-not-inc,Some-college,Married-civ-spouse,Machine-op-inspct,6514,0,40
Private,Some-college,Divorced,Other-service,0,0,32
Private,10th,Married-civ-spouse,Other-service,0,0,40
Private,HS-grad,Widowed,Adm-clerical,0,0,40
State-gov,Masters,Married-civ-spouse,Prof-specialty,0,0,40
Private,Bachelors,Never-married,Exec-managerial,0,0,38
Private,Some-college,Never-married,Prof-specialty,0,0,18
Private,Some-college,Never-married,Handlers-cleaners,0,0,30
Local-gov,HS-grad,Married-civ-spouse,Transport-moving,0,0,40
Private,Some-college,Never-married,Prof-specialty,0,0,40
Private,HS-grad,Divorced,Adm-clerical,0,0,40
Private,Bachelors,Married-civ-spouse,Machine-op-inspct,0,0,50
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,40
Private,Some-college,Divorced,Sales,0,0,40
Private,Bachelors,Married-civ-spouse,Exec-managerial,0,0,44
Self-emp-not-inc,7th-8th,Married-civ-spouse,Other-service,0,0,25
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,0,0,65
Federal-gov,Masters,Divorced,Prof-specialty,1506,0,40
Self-emp-inc,Bachelors,Divorced,Sales,0,0,50
Private,HS-grad,Married-civ-spouse,Sales,0,1848,40
Private,HS-grad,Married-civ-spouse,Farming-fishing,0,0,60
Private,Some-college,Married-civ-spouse,Craft-repair,0,0,40
Private,11th,Married-civ-spouse,Craft-repair,0,2057,40
State-gov,Assoc-acdm,Separated,Other-service,0,0,40
Private,Some-college,Never-married,Adm-clerical,0,0,40
Private,11th,Never-married,Sales,0,0,30
Self-emp-not-inc,Bachelors,Married-civ-spouse,Transport-moving,0,0,40
Private,HS-grad,Divorced,Other-service,0,0,30
Private,Bachelors,Married-civ-spouse,Exec-managerial,0,0,50
Private,Masters,Divorced,Prof-specialty,0,0,40
Private,Bachelors,Married-civ-spouse,Exec-managerial,0,0,50
Private,Some-college,Divorced,Sales,0,0,40
Private,7th-8th,Never-married,Prof-specialty,0,0,40
Private,Bachelors,Never-married,Prof-specialty,0,0,40
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0,0,45
Private,Bachelors,Married-civ-spouse,Craft-repair,15024,0,40
Private,Some-college,Married-civ-spouse,Sales,0,0,40
Private,11th,Divorced,Farming-fishing,0,0,40
Private,Some-college,Never-married,Other-service,0,0,40
Private,12th,Married-civ-spouse,Prof-specialty,0,0,20
Private,HS-grad,Widowed,Tech-support,0,0,18
Private,HS-grad,Never-married,Adm-clerical,0,0,20
Private,Masters,Divorced,Prof-specialty,6849,0,60
Private,10th,Never-married,Prof-specialty,0,0,30
State-gov,Prof-school,Divorced,Prof-specialty,0,0,50
Private,HS-grad,Married-civ-spouse,Exec-managerial,0,0,30
State-gov,Some-college,Separated,Prof-specialty,10520,0,40
Private,Assoc-voc,Married-civ-spouse,Craft-repair,3103,0,50
Private,Assoc-acdm,Divorced,Adm-clerical,0,0,48
Self-emp-not-inc,Bachelors,Never-married,Farming-fishing,0,0,50
Local-gov,10th,Married-civ-spouse,Transport-moving,0,0,10
Private,Bachelors,Never-married,Prof-specialty,0,0,40
Private,HS-grad,Never-married,Sales,0,0,40
State-gov,Some-college,Never-married,Adm-clerical,0,0,10
Private,Some-college,Married-civ-spouse,Other-service,0,0,40
Private,Some-college,Never-married,Sales,0,0,40
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,0,0,40
Private,Bachelors,Married-civ-spouse,Adm-clerical,0,0,40
Private,Some-college,Never-married,Exec-managerial,0,0,40
Private,Bachelors,Married-civ-spouse,Prof-specialty,15024,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,50
Private,Some-college,Never-married,Prof-specialty,0,0,25
Self-emp-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,0,0,40
Private,Some-college,Never-married,Adm-clerical,0,0,40
Private,Some-college,Married-civ-spouse,Craft-repair,0,0,40
Local-gov,Some-college,Divorced,Transport-moving,0,0,40
Private,HS-grad,Married-civ-spouse,Prof-specialty,0,0,16
Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,15024,0,50
Private,HS-grad,Never-married,Transport-moving,0,0,40
Private,Some-college,Divorced,Adm-clerical,0,0,37
Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,0,0,45
Private,HS-grad,Never-married,Handlers-cleaners,4416,0,40
Local-gov,HS-grad,Divorced,Craft-repair,0,0,40
Private,Bachelors,Married-spouse-absent,Other-service,0,0,40
Private,Some-college,Divorced,Craft-repair,0,0,40
Private,Some-college,Married-civ-spouse,Craft-repair,4386,0,38
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,20051,0,25
Private,Some-college,Never-married,Prof-specialty,0,0,25
Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,0,0,15
Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,0,0,24
State-gov,Masters,Never-married,Exec-managerial,0,0,40
Private,HS-grad,Married-civ-spouse,Transport-moving,0,0,50
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,1977,50
Private,HS-grad,Never-married,Craft-repair,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Married-civ-spouse,Transport-moving,0,0,40
Private,9th,Separated,Craft-repair,0,0,35
Private,HS-grad,Divorced,Adm-clerical,0,0,40
Private,Bachelors,Divorced,Sales,0,0,40
Private,11th,Never-married,Transport-moving,0,0,65
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0,0,40
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,0,0,40
Private,Some-college,Never-married,Other-service,0,0,28
Private,Some-college,Never-married,Sales,2176,0,35
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,15024,0,50
Local-gov,HS-grad,Widowed,Prof-specialty,0,0,40
Private,Some-college,Widowed,Exec-managerial,0,0,40
Private,Bachelors,Divorced,Prof-specialty,0,0,40
Private,HS-grad,Never-married,Other-service,0,0,40
Private,Assoc-acdm,Married-civ-spouse,Protective-serv,0,0,40
Local-gov,Some-college,Divorced,Adm-clerical,0,0,40
Private,Some-college,Married-civ-spouse,Craft-repair,0,0,40
Private,10th,Divorced,Handlers-cleaners,0,0,58
Private,Assoc-acdm,Divorced,Craft-repair,0,0,40
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,40
Private,HS-grad,Separated,Adm-clerical,0,0,40
Private,12th,Married-civ-spouse,Handlers-cleaners,0,0,40
Private,Some-college,Married-civ-spouse,Exec-managerial,0,0,50
Private,Bachelors,Married-civ-spouse,Tech-support,0,0,45
Private,Bachelors,Married-civ-spouse,Other-service,7688,0,20
Private,Some-college,Married-civ-spouse,Sales,0,0,40
Federal-gov,Bachelors,Never-married,Protective-serv,0,0,40
Private,9th,Never-married,Prof-specialty,0,0,42
Private,HS-grad,Never-married,Farming-fishing,0,0,40
Private,Assoc-voc,Married-civ-spouse,Craft-repair,0,0,40
Private,Prof-school,Married-civ-spouse,Prof-specialty,0,0,40
Private,HS-grad,Married-civ-spouse,Other-service,0,0,50
Private,HS-grad,Married-civ-spouse,Transport-moving,0,1902,50
Private,Bachelors,Married-spouse-absent,Exec-managerial,0,0,50
Private,Some-college,Never-married,Tech-support,0,0,40
Private,HS-grad,Never-married,Other-service,0,0,30
Private,7th-8th,Widowed,Other-service,0,0,40
Private,HS-grad,Married-civ-spouse,Adm-clerical,0,0,20
Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,0,0,30
Private,Bachelors,Divorced,Other-service,0,0,40
Private,HS-grad,Divorced,Transport-moving,0,0,40
Private,10th,Married-spouse-absent,Adm-clerical,0,0,30
Private,10th,Separated,Adm-clerical,0,0,40
Private,9th,Separated,Other-service,0,0,23
Private,Masters,Never-married,Prof-specialty,0,0,40
State-gov,Some-college,Never-married,Craft-repair,0,0,40
State-gov,Some-college,Married-civ-spouse,Adm-clerical,0,1740,40
Private,Some-college,Never-married,Handlers-cleaners,0,0,20
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,Bachelors,Never-married,Sales,0,0,55
Private,10th,Never-married,Craft-repair,0,0,44
Private,HS-grad,Never-married,Farming-fishing,0,0,40
Private,Some-college,Never-married,Sales,0,0,20
Private,7th-8th,Married-civ-spouse,Prof-specialty,0,0,24
Private,Some-college,Never-married,Tech-support,0,0,40
Private,Some-college,Married-civ-spouse,Protective-serv,0,0,40
Private,HS-grad,Divorced,Exec-managerial,0,0,40
Private,Bachelors,Divorced,Sales,0,0,50
Private,Bachelors,Never-married,Prof-specialty,0,0,9
Private,Some-college,Married-civ-spouse,Sales,0,0,40
Private,Some-college,Never-married,Machine-op-inspct,0,0,70
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,Some-college,Married-civ-spouse,Sales,0,0,50
Private,HS-grad,Married-civ-spouse,Exec-managerial,15024,0,60
Private,Some-college,Never-married,Protective-serv,0,0,20
Private,Some-college,Divorced,Adm-clerical,0,0,20
Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,7298,0,40
Private,Some-college,Married-civ-spouse,Prof-specialty,0,0,40
Private,Bachelors,Never-married,Adm-clerical,0,1617,20
Local-gov,Bachelors,Never-married,Prof-specialty,0,0,40
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,80
Private,10th,Separated,Other-service,0,0,12
Private,HS-grad,Divorced,Adm-clerical,0,0,38
Self-emp-not-inc,Some-college,Never-married,Craft-repair,0,0,40
Private,Masters,Married-civ-spouse,Prof-specialty,0,0,44
Private,Bachelors,Never-married,Exec-managerial,0,0,40
Private,12th,Never-married,Farming-fishing,0,0,30
Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,0,0,60
State-gov,Some-college,Married-civ-spouse,Exec-managerial,0,0,40
Private,10th,Married-civ-spouse,Craft-repair,0,0,40
Private,Some-college,Married-civ-spouse,Prof-specialty,0,0,35
Private,HS-grad,Never-married,Prof-specialty,0,0,15
Private,HS-grad,Never-married,Other-service,0,0,64
Self-emp-not-inc,7th-8th,Married-civ-spouse,Prof-specialty,0,0,60
Private,Some-college,Never-married,Prof-specialty,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Local-gov,Bachelors,Divorced,Exec-managerial,0,0,40
Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,0,0,40
Private,HS-grad,Divorced,Transport-moving,0,0,40
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,0,0,48
State-gov,HS-grad,Married-civ-spouse,Sales,0,0,40
Private,Some-college,Divorced,Prof-specialty,0,0,30
Private,Bachelors,Married-spouse-absent,Prof-specialty,13550,0,40
Self-emp-inc,Bachelors,Never-married,Sales,0,0,40
Private,Bachelors,Never-married,Sales,0,0,60
Self-emp-not-inc,12th,Married-civ-spouse,Sales,0,0,50
Private,Bachelors,Never-married,Prof-specialty,0,0,40
Private,Prof-school,Married-civ-spouse,Prof-specialty,0,0,60
Private,Some-college,Never-married,Prof-specialty,0,0,4
Private,11th,Divorced,Transport-moving,0,0,65
Private,Masters,Married-civ-spouse,Prof-specialty,7298,0,40
Private,HS-grad,Divorced,Adm-clerical,0,0,29
Private,Some-college,Never-married,Sales,0,0,26
Private,Some-college,Divorced,Adm-clerical,0,0,38
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,40
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,0,0,50
Self-emp-not-inc,Masters,Married-civ-spouse,Sales,0,0,40
Local-gov,Bachelors,Never-married,Prof-specialty,0,0,21
Private,Assoc-voc,Married-spouse-absent,Prof-specialty,0,0,44
Private,Bachelors,Married-civ-spouse,Craft-repair,0,0,36
Private,Assoc-voc,Married-civ-spouse,Sales,0,0,40
Private,HS-grad,Never-married,Adm-clerical,0,0,25
Private,HS-grad,Never-married,Adm-clerical,0,0,40
Private,Some-college,Married-civ-spouse,Sales,0,0,40
Private,HS-grad,Divorced,Machine-op-inspct,0,0,25
Private,Prof-school,Never-married,Prof-specialty,0,0,50
Private,Some-college,Never-married,Exec-managerial,0,0,40
Private,Some-college,Separated,Adm-clerical,0,0,45
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,0,0,48
Private,HS-grad,Divorced,Exec-managerial,0,0,55
Self-emp-inc,Bachelors,Never-married,Exec-managerial,0,0,55
Private,Some-college,Never-married,Prof-specialty,0,0,35
Private,Some-college,Married-civ-spouse,Exec-managerial,0,0,55
Private,HS-grad,Never-married,Prof-specialty,0,0,16
Private,HS-grad,Widowed,Other-service,0,0,20
Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,0,0,50
Local-gov,Some-college,Married-civ-spouse,Protective-serv,3464,0,45
Private,HS-grad,Separated,Craft-repair,0,0,40
Private,10th,Married-civ-spouse,Adm-clerical,0,0,45
Private,Bachelors,Never-married,Other-service,0,0,30
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Never-worked,10th,Never-married,Prof-specialty,0,0,30
Local-gov,Masters,Never-married,Prof-specialty,0,0,40
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,2
Federal-gov,Masters,Never-married,Exec-managerial,0,0,40
Private,7th-8th,Married-civ-spouse,Handlers-cleaners,0,0,40
Private,HS-grad,Never-married,Prof-specialty,0,0,40
Private,10th,Never-married,Prof-specialty,0,0,30
Private,Some-college,Married-civ-spouse,Exec-managerial,0,0,45
Private,Assoc-acdm,Never-married,Adm-clerical,0,0,50
Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,15024,0,50
Private,HS-grad,Married-civ-spouse,Other-service,0,0,65
Private,HS-grad,Never-married,Craft-repair,0,0,40
Federal-gov,Bachelors,Married-civ-spouse,Protective-serv,0,0,60
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Local-gov,Bachelors,Never-married,Prof-specialty,0,0,45
Private,Doctorate,Married-civ-spouse,Adm-clerical,0,0,55
Private,HS-grad,Never-married,Other-service,0,0,40
Local-gov,Masters,Never-married,Prof-specialty,0,0,40
Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0,2415,60
Private,HS-grad,Never-married,Exec-managerial,0,0,50
Private,Some-college,Divorced,Craft-repair,0,0,35
Private,Assoc-voc,Married-civ-spouse,Tech-support,0,0,40
Local-gov,12th,Married-civ-spouse,Other-service,0,0,35
Private,Bachelors,Divorced,Transport-moving,0,0,40
Private,HS-grad,Never-married,Sales,0,0,37
Private,Bachelors,Divorced,Tech-support,2329,0,16
State-gov,Masters,Married-civ-spouse,Prof-specialty,0,0,60
Private,Some-college,Never-married,Prof-specialty,0,0,40
Private,12th,Never-married,Adm-clerical,0,0,48
Self-emp-inc,Some-college,Married-civ-spouse,Sales,0,0,60
Local-gov,Assoc-acdm,Married-civ-spouse,Craft-repair,7298,0,40
Private,Some-college,Never-married,Exec-managerial,0,2444,40
Private,HS-grad,Divorced,Craft-repair,0,0,40
Private,HS-grad,Divorced,Adm-clerical,0,0,45
Federal-gov,Bachelors,Never-married,Adm-clerical,0,1741,40
Private,9th,Separated,Farming-fishing,0,0,40
Private,Masters,Married-civ-spouse,Exec-managerial,0,0,40
Private,9th,Divorced,Other-service,0,0,40
State-gov,Bachelors,Married-civ-spouse,Adm-clerical,0,0,40
Private,12th,Never-married,Other-service,0,0,6
Private,Some-college,Married-spouse-absent,Craft-repair,0,0,40
Self-emp-inc,Bachelors,Married-civ-spouse,Machine-op-inspct,7688,0,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0,0,40
Private,10th,Married-civ-spouse,Handlers-cleaners,0,0,45
Private,HS-grad,Married-civ-spouse,Craft-repair,0,2051,20
Private,Bachelors,Married-civ-spouse,Exec-managerial,0,0,50
Private,Some-college,Never-married,Adm-clerical,0,0,40
Local-gov,Bachelors,Divorced,Prof-specialty,0,0,57
Private,Assoc-acdm,Never-married,Sales,0,0,50
Private,Prof-school,Never-married,Prof-specialty,0,0,8
Private,HS-grad,Never-married,Tech-support,0,0,40
State-gov,Some-college,Married-civ-spouse,Transport-moving,3411,0,40
Private,9th,Never-married,Other-service,0,0,35
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,0,0,16
Private,Bachelors,Married-civ-spouse,Sales,0,1902,45
Local-gov,Masters,Married-civ-spouse,Prof-specialty,7688,0,50
Self-emp-not-inc,Masters,Divorced,Prof-specialty,0,0,50
Private,Some-college,Divorced,Sales,0,0,36
Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,0,0,40
Local-gov,HS-grad,Divorced,Exec-managerial,0,0,40
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,20
Local-gov,Assoc-acdm,Never-married,Adm-clerical,0,0,35
Private,11th,Divorced,Machine-op-inspct,0,0,52
Private,HS-grad,Separated,Adm-clerical,0,0,40
Private,Some-college,Never-married,Priv-house-serv,0,0,50
Private,HS-grad,Never-married,Machine-op-inspct,0,0,30
Private,HS-grad,Married-civ-spouse,Transport-moving,0,0,50
Private,Some-college,Never-married,Sales,0,0,45
Private,10th,Never-married,Prof-specialty,0,0,40
Private,HS-grad,Married-civ-spouse,Prof-specialty,0,0,40
Local-gov,Masters,Married-civ-spouse,Exec-managerial,7298,0,60
Private,Bachelors,Never-married,Craft-repair,0,0,40
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,0,0,40
Private,HS-grad,Married-civ-spouse,Tech-support,0,0,40
Private,Some-college,Never-married,Craft-repair,0,0,40
Private,9th,Divorced,Craft-repair,0,0,45
Private,HS-grad,Never-married,Other-service,0,0,20
Private,10th,Married-civ-spouse,Farming-fishing,0,0,55
State-gov,Bachelors,Married-civ-spouse,Exec-managerial,7688,0,40
Private,5th-6th,Married-civ-spouse,Handlers-cleaners,0,0,40
Private,HS-grad,Divorced,Tech-support,0,0,35
Local-gov,Bachelors,Never-married,Adm-clerical,0,0,40
Private,Some-college,Never-married,Other-service,0,0,20
